ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude
9878952,12-04-2014 09:30,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,0,1,2,4,39,04B,1183896,1874058,2014,41.8095966,-87.60101633
10374717,12-27-2015 02:13,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,0,0,2,3,38,26,,,2015,,
10133988,06-30-2015 08:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,18,27,8,14,1172996,1908394,2015,41.90406511,-87.63997849
8710036,07-16-2012 10:30,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,0,0,20,47,3,5,1163922,1932365,2012,41.97003929,-87.67263086
8629797,05-25-2012 03:37,THEFT,RETAIL THEFT,DEPARTMENT STORE,1,0,17,45,15,6,1143937,1926169,2012,41.95343636,-87.74627323
8840017,10-10-2012 08:20,BURGLARY,FORCIBLE ENTRY,RESIDENCE,0,0,18,43,7,5,1171597,1915173,2012,41.92269795,-87.64491746
8602160,05-07-2012 23:30,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,0,1,4,7,46,04A,1199204,1847001,2012,41.73497897,-87.5457791
10407538,02-08-2016 10:30,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,0,0,16,45,11,5,1135887,1937001,2016,41.98330788,-87.77560698
9043860,03-12-2013 12:30,BURGLARY,FORCIBLE ENTRY,APARTMENT,0,0,4,10,51,5,1197837,1838978,2013,41.7129974,-87.5510542
9825871,10-20-2014 01:00,THEFT,OVER $500,STREET,0,0,3,7,43,6,1193462,1857444,2014,41.76377768,-87.56647397
9534150,03-17-2014 11:40,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,SIDEWALK,1,0,24,49,1,04A,1163987,1945235,2014,42.0053536,-87.67202644
10699392,09-29-2016 05:05,THEFT,FROM BUILDING,"SCHOOL, PRIVATE, BUILDING",1,0,18,32,7,6,1167912,1915892,2016,41.9247513,-87.65843647
10219577,08-27-2015 06:30,THEFT,OVER $500,APARTMENT,0,0,12,2,28,6,1158925,1900589,2015,41.88294797,-87.69187912
10202222,08-19-2015 08:40,THEFT,RETAIL THEFT,CONVENIENCE STORE,1,0,5,10,51,6,1185667,1832643,2015,41.69590816,-87.59582281
8460605,01-30-2012 07:15,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,0,0,3,5,43,3,1189490,1857927,2012,41.76519932,-87.58101649
8894240,11-16-2012 09:30,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,0,1,5,34,53,08B,1173714,1821978,2012,41.66691423,-87.63990113
10705823,10-05-2016 15:00,BATTERY,SIMPLE,SIDEWALK,0,0,25,30,21,08B,1149874,1920207,2016,41.93696248,-87.72460375
10397432,01-28-2016 09:30,BURGLARY,FORCIBLE ENTRY,APARTMENT,0,0,3,5,43,5,1188996,1858560,2016,41.76694817,-87.58280688
8958138,01-05-2013 14:30,BURGLARY,FORCIBLE ENTRY,RESIDENCE,0,0,7,16,68,5,1170991,1865447,2013,41.78625909,-87.64860108
10345763,12-13-2015 08:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,1,4,8,48,08B,1189400,1843988,2015,41.72695157,-87.58179259
10737363,10-30-2016 09:00,BATTERY,SIMPLE,RESIDENCE,0,0,11,2,27,08B,1156827,1896560,2016,41.87193477,-87.69969232
